# REDIRECTS.CSV — Fichier unique de redirections PSP → Twelvy
# Usage : à implémenter dans next.config.ts le jour du basculement de domaine
# Format : ancienne_url,nouvelle_url,type,statut
# type : 301 (permanent) pour toutes les redirections SEO
# statut : LIVE = déjà dans next.config.ts, PRÊT = à ajouter le jour J
#
# Mis à jour le 08 Mars 2026
# Source vérifiée : PSP_ARTICLES_GROUND_TRUTH.md + headless.twelvy.net WP (124 pages confirmées)

# =============================================
# CATÉGORIE 1 : Pages PHP → Pages Twelvy (48)
# =============================================
# Ancien format prostagespermis.fr : /slug.php
# Tous les slugs Twelvy vérifiés contre headless.twelvy.net/wp-json/wp/v2/pages
ancienne_url,nouvelle_url,type,statut
/agrements.php,/agrements-du-stage,301,LIVE
/annulation-permis.php,/annulation-permis,301,PRÊT
/bareme-retrait-points.php,/bareme-de-retrait-de-points,301,PRÊT
/conduite-accompagnee.php,/conduite-accompagnee,301,PRÊT
/conduite-sans-permis.php,/conduite-sans-permis,301,PRÊT
/conseils.php,/conseils,301,PRÊT
/dangers-alcool.php,/les-risques-lies-a-lalcool,301,PRÊT
/faq.php,/questions-frequentes,301,PRÊT
/infraction-amende-pv.php,/infractions,301,PRÊT
/lettre-48M.php,/lettre-48m,301,PRÊT
/lettre-48N.php,/lettre-48n,301,PRÊT
/lettre-48S.php,/lettre-48si,301,PRÊT
/nombre-de-points-permis.php,/nombre-de-points-permis,301,PRÊT
# FIX: /permis-a-points.php → /les-stages-permis-a-points (pas /les-points-de-permis — voir PSP_ARTICLES_GROUND_TRUTH.md)
/permis-a-points.php,/les-stages-permis-a-points,301,PRÊT
/permis-etranger.php,/permis-etranger,301,PRÊT
/permis-probatoire.php,/permis-probatoire,301,PRÊT
/programme-dun-stage-de-recuperation-de-points.php,/programme-du-stage,301,PRÊT
# FIX: /radars.php → /radar-automatique (singular, pas /radars-automatiques — voir PSP_ARTICLES_GROUND_TRUTH.md)
/radars.php,/radar-automatique,301,PRÊT
/rattrapage-points.php,/rattraper-des-points,301,PRÊT
/sanctions-alcool.php,/les-sanctions-liees-a-lalcool,301,PRÊT
/stage-permis-conduire.php,/stage-de-permis-de-conduire,301,PRÊT
/stage-recuperation-points.php,/stage-de-recuperation-de-points,301,PRÊT
/stage-sensibilisation-securite-routiere.php,/stage-de-sensibilisation-a-la-securite-routiere,301,PRÊT
/suspension-de-permis-et-retrait-de-permis.php,/suspension-de-permis-et-retrait-de-permis,301,PRÊT
/suspension-permis.php,/retrait-de-permis,301,PRÊT
/temoignages-stagiaires.php,/temoignages-de-stagiaires,301,PRÊT
/types-stage.php,/types-de-stages-permis,301,PRÊT
/alternative-poursuite.php,/stage-alternative-poursuite,301,PRÊT
/articles-securite-routiere.php,/articles-securite-routiere,301,PRÊT
/carte-radars.php,/carte-radars,301,PRÊT
/composition-penale.php,/stage-composition-penale,301,PRÊT
/conditions_inscription.php,/les-conditions-dinscription,301,PRÊT
/dif.php,/dif-cpf,301,PRÊT
/inscrire-stage.php,/comment-sinscrire-a-un-stage,301,PRÊT
/legalite.php,/legalite,301,PRÊT
/loi2011.php,/loi-permis-a-points-2011,301,PRÊT
# FIX: /comment-consulter-mon-solde-de-points est une page placeholder → redirige directement vers l'article cible
/nombre-points-restant.php,/consulter-ses-points,301,PRÊT
/paiement-amende.php,/paiement-amende,301,PRÊT
/peine-complementaire.php,/stage-peine-complementaire,301,PRÊT
/permis-de-conduire-candidat-libre.php,/permis-de-conduire-candidat-libre,301,PRÊT
/programme.php,/programme-du-stage,301,PRÊT
/radar-feu-rouge.php,/radar-feu-rouge,301,PRÊT
/repasser-permis.php,/repasser-permis,301,PRÊT
/solde-point.php,/solde-de-point,301,PRÊT
/tests-psychotechniques.php,/tests-psychotechniques,301,PRÊT
/qui-sommes-nous.php,/qui-sommes-nous,301,PRÊT
/mentions-legales.php,/mentions-legales,301,PRÊT
# Note: guide-affilies.php → pas d'équivalent Twelvy (programme affiliation non migré)
# Note: aide_contact.php + contact.php → couvert Cat 6 (/aide-et-contact → khapeo.com)

# =============================================
# CATÉGORIE 2 : Pages /p- → Pages Twelvy
# =============================================
# Ancien format prostagespermis.fr : /p-slug (ex: /p-stationnement-interdit)
# Nouveau format twelvy : /slug
#
# RÈGLE : les entrées EXPLICITES ci-dessous doivent être placées AVANT la règle wildcard
# dans next.config.ts (Next.js évalue les redirections dans l'ordre)
#
# WILDCARD (à mettre EN DERNIER dans next.config.ts) :
#   { source: '/p-:slug', destination: '/:slug', permanent: true }
# Couvre ~35 pages articles dont le slug est identique sur PSP et Twelvy (✅ dans PSP_ARTICLES_GROUND_TRUTH.md)

# ── Slugs qui ont CHANGÉ entre PSP et Twelvy (actif=1) ───────────────────
# Pour chacun : wildcard donnerait le mauvais slug → explicite obligatoire
/p-agrements,/agrements-du-stage,301,PRÊT
/p-alternative-poursuite,/stage-alternative-poursuite,301,PRÊT
/p-bareme-retrait-points,/bareme-de-retrait-de-points,301,PRÊT
/p-composition-penale,/stage-composition-penale,301,PRÊT
/p-conditions_inscription,/les-conditions-dinscription,301,PRÊT
/p-consulter-points,/consulter-ses-points,301,PRÊT
/p-dangers-alcool,/les-risques-lies-a-lalcool,301,PRÊT
/p-feu-rouge,/feu-rouge-et-feu-orange,301,PRÊT
/p-guide-conserver-permis,/recuperer-ses-points,301,PRÊT
/p-infraction-amende-pv,/infractions,301,PRÊT
# Lettres 48 : casse PSP (48M/48N/48S) ≠ casse Twelvy (48m/48n/48si)
/p-lettre-48M,/lettre-48m,301,PRÊT
/p-lettre-48N,/lettre-48n,301,PRÊT
/p-lettre-48S,/lettre-48si,301,PRÊT
/p-non-port-ceinture-securite,/non-port-ceinture-de-securite,301,PRÊT
/p-non-respect-d-un-stop,/non-respect-du-stop,301,PRÊT
/p-payer-amende,/paiement-amende,301,PRÊT
/p-peine-complementaire,/stage-peine-complementaire,301,PRÊT
/p-permis-a-points,/les-stages-permis-a-points,301,PRÊT
/p-programme-dun-stage-de-recuperation-de-points,/programme-du-stage,301,PRÊT
/p-radars,/radar-automatique,301,PRÊT
/p-rattrapage-points,/rattraper-des-points,301,PRÊT
/p-recuperation-points,/recuperer-ses-points,301,PRÊT
/p-sanctions-alcool,/les-sanctions-liees-a-lalcool,301,PRÊT
/p-stage-permis-conduire,/stage-de-permis-de-conduire,301,PRÊT
/p-stage-recuperation-de-points,/stage-de-recuperation-de-points,301,PRÊT
/p-stage-recuperation-points,/stage-de-recuperation-de-points,301,PRÊT
/p-stage-sensibilisation-securite-routiere,/stage-de-sensibilisation-a-la-securite-routiere,301,PRÊT
/p-temoignages-stagiaires,/temoignages-de-stagiaires,301,PRÊT
/p-types-stage,/types-de-stages-permis,301,PRÊT

# ── Slugs actif=0 dont le slug a changé sur Twelvy ───────────────────────
/p-dif-stage-permis,/dif-cpf,301,PRÊT
/p-contester-une-amende,/contester-mon-amende,301,PRÊT
# FIX: /comment-contester-mon-amende est une page placeholder → redirige directement vers l'article cible
/p-comment-contester-une-amende,/payer-son-amende,301,PRÊT

# ── Pages Part 2B (FAQ/utilitaires PSP — pas migrées, redirigées vers le + proche) ──
# NOTE ANCRE : Certaines pages PSP ne sont pas des articles autonomes — elles sont des ancres
# (#section) vers un H2 dans un autre article. Ex: /p-retrait-de-permis#Dans quels cas...
# Le fragment # n'est jamais envoyé au serveur → la redirection se fait sur le slug de base.
# Sur Twelvy, Header.tsx redirige le clic nav directement vers /article#anchor-slugifié.
# Les 8 pages placeholder WP restent publiées (nécessaires pour la nav dropdown) mais sont
# inatteignables : next.config.ts 301 les redirige vers l'article cible.
# FIX: /dans-quels-cas-faire-un-stage est une page placeholder → redirige directement vers l'article cible
/p-a-quel-moment-faire-un-stage,/retrait-de-permis,301,PRÊT
/p-a-quel-moment-sinscrire-a-un-stage,/comment-sinscrire-a-un-stage,301,PRÊT
# FIX: /combien-de-temps-pour-recuperer-ses-points est une page placeholder → redirige directement vers l'article cible
